month,category,number
2015-12,Category C-ETS,1256
2015-12,Category D,727
2015-12,Taxis,303
2015-12,Vehicles Exempted From VQS,217
2016-01,Category A,3953
2016-01,Category B,3111
2016-01,Category C,440
2016-01,Category C-ETS,1017
2016-01,Category D,667
2016-01,Taxis,246
2016-01,Vehicles Exempted From VQS,204
2016-02,Category A,3239
2016-02,Category B,2488
2016-02,Category C,326
2016-02,Category C-ETS,687
2016-02,Category D,595
2016-02,Taxis,75
2016-02,Vehicles Exempted From VQS,169
2016-03,Category A,4124
2016-03,Category B,2955
2016-03,Category C,521
2016-03,Category C-ETS,1428
2016-03,Category D,672
2016-03,Taxis,490
2016-03,Vehicles Exempted From VQS,255
2016-04,Category A,3997
2016-04,Category B,3180
2016-04,Category C,351
2016-04,Category C-ETS,1398
2016-04,Category D,722
2016-04,Taxis,463
2016-04,Vehicles Exempted From VQS,169
2016-05,Category A,4910
2016-05,Category B,3295
2016-05,Category C,426
2016-05,Category C-ETS,1147
2016-05,Category D,689
2016-05,Taxis,389
2016-05,Vehicles Exempted From VQS,148
2016-06,Category A,4847
2016-06,Category B,3254
2016-06,Category C,494
2016-06,Category C-ETS,969
2016-06,Category D,745
2016-06,Taxis,371
2016-06,Vehicles Exempted From VQS,261
2016-07,Category A,3859
2016-07,Category B,3044
2016-07,Category C,408
2016-07,Category C-ETS,1111
2016-07,Category D,750
2016-07,Taxis,344
2016-07,Vehicles Exempted From VQS,220
2016-08,Category A,4229
2016-08,Category B,2889
2016-08,Category C,354
2016-08,Category C-ETS,1065
2016-08,Category D,824
2016-08,Taxis,264
2016-08,Vehicles Exempted From VQS,301
2016-09,Category A,4486
2016-09,Category B,3430
2016-09,Category C,328
2016-09,Category C-ETS,1002
2016-09,Category D,757
2016-09,Taxis,319
2016-09,Vehicles Exempted From VQS,214
2016-10,Category A,4247
2016-10,Category B,3511
2016-10,Category C,296
2016-10,Category C-ETS,783
2016-10,Category D,580
2016-10,Taxis,166
2016-10,Vehicles Exempted From VQS,168
2016-11,Category A,3674
2016-11,Category B,3805
2016-11,Category C,425
2016-11,Category C-ETS,790
2016-11,Category D,626
2016-11,Taxis,266
2016-11,Vehicles Exempted From VQS,140
2016-12,Category A,3735
2016-12,Category B,3040
2016-12,Category C,417
2016-12,Category C-ETS,782
2016-12,Category D,709
2016-12,Taxis,401
2016-12,Vehicles Exempted From VQS,145
2017-01,Category A,3695
2017-01,Category B,3835
2017-01,Category C,303
2017-01,Category C-ETS,642
2017-01,Category D,643
2017-01,Taxis,314
2017-01,Vehicles Exempted From VQS,106
2017-02,Category A,3647
2017-02,Category B,2501
2017-02,Category C,338
2017-02,Category C-ETS,826
2017-02,Category D,760
2017-02,Taxis,59
2017-02,Vehicles Exempted From VQS,120
2017-03,Category A,4666
2017-03,Category B,3927
2017-03,Category C,389
2017-03,Category C-ETS,1345
2017-03,Category D,813
2017-03,Taxis,81
2017-03,Vehicles Exempted From VQS,182
2017-04,Category A,3672
2017-04,Category B,3114
2017-04,Category C,281
2017-04,Category C-ETS,779
2017-04,Category D,575
2017-04,Taxis,24
2017-04,Vehicles Exempted From VQS,105
2017-05,Category A,4473
2017-05,Category B,3933
2017-05,Category C,1683
2017-05,Category C-ETS,124
2017-05,Category D,775
2017-05,Taxis,170
2017-05,Vehicles Exempted From VQS,130
2017-06,Category A,4189
2017-06,Category B,4055
2017-06,Category C,1536
2017-06,Category C-ETS,230
2017-06,Category D,829
2017-06,Taxis,185
2017-06,Vehicles Exempted From VQS,185
2017-07,Category A,3674
2017-07,Category B,3847
2017-07,Category C,1387
2017-07,Category C-ETS,736
2017-07,Category D,878
2017-07,Taxis,278
2017-07,Vehicles Exempted From VQS,155
2017-08,Category A,3746
2017-08,Category B,3970
2017-08,Category C,1134
2017-08,Category C-ETS,1131
2017-08,Category D,824
2017-08,Taxis,272
2017-08,Vehicles Exempted From VQS,159
2017-09,Category A,2775
2017-09,Category B,3126
2017-09,Category C,1150
2017-09,Category C-ETS,451
2017-09,Category D,884
2017-09,Taxis,270
2017-09,Vehicles Exempted From VQS,124
2017-10,Category A,3416
2017-10,Category B,3730
2017-10,Category C,972
2017-10,Category C-ETS,517
2017-10,Category D,752
2017-10,Taxis,263
2017-10,Vehicles Exempted From VQS,147
2017-11,Category A,3754
2017-11,Category B,3913
2017-11,Category C,945
2017-11,Category C-ETS,637
2017-11,Category D,794
2017-11,Taxis,286
2017-11,Vehicles Exempted From VQS,125
2017-12,Category A,4369
2017-12,Category B,5748
2017-12,Category C,1937
2017-12,Category C-ETS,288
2017-12,Category D,1113
2017-12,Taxis,568
2017-12,Vehicles Exempted From VQS,304
2018-01,Category A,3524
2018-01,Category B,2045
2018-01,Category C,178
2018-01,Category C-ETS,344
2018-01,Category D,520
2018-01,Taxis,0
2018-01,Vehicles Exempted From VQS,105
2018-02,Category A,2668
2018-02,Category B,2541
2018-02,Category C,172
2018-02,Category C-ETS,172
2018-02,Category D,394
2018-02,Taxis,0
2018-02,Vehicles Exempted From VQS,76
2018-03,Category A,3674
2018-03,Category B,3313
2018-03,Category C,386
2018-03,Category C-ETS,504
2018-03,Category D,604
2018-03,Taxis,0
2018-03,Vehicles Exempted From VQS,98
2018-04,Category A,3342
2018-04,Category B,3615
2018-04,Category C,527
2018-04,Category C-ETS,586
2018-04,Category D,750
2018-04,Taxis,0
2018-04,Vehicles Exempted From VQS,102
2018-05,Category A,3889
2018-05,Category B,3523
2018-05,Category C,555
2018-05,Category C-ETS,547
2018-05,Category D,861
2018-05,Taxis,4
2018-05,Vehicles Exempted From VQS,88
2018-06,Category A,5927
2018-06,Category B,4528
2018-06,Category C,803
2018-06,Category C-ETS,415
2018-06,Category D,872
2018-06,Taxis,33
2018-06,Vehicles Exempted From VQS,106
2018-07,Category A,2059
2018-07,Category B,3207
2018-07,Category C,521
2018-07,Category C-ETS,605
2018-07,Category D,1099
2018-07,Taxis,130
2018-07,Vehicles Exempted From VQS,134
2018-08,Category A,2721
2018-08,Category B,3208
2018-08,Category C,564
2018-08,Category C-ETS,550
2018-08,Category D,1062
2018-08,Taxis,285
2018-08,Vehicles Exempted From VQS,143
2018-09,Category A,2887
2018-09,Category B,3280
2018-09,Category C,757
2018-09,Category C-ETS,397
2018-09,Category D,1308
2018-09,Taxis,115
2018-09,Vehicles Exempted From VQS,99
2018-10,Category A,3018
2018-10,Category B,3719
2018-10,Category C,871
2018-10,Category C-ETS,668
2018-10,Category D,1322
2018-10,Taxis,169
2018-10,Vehicles Exempted From VQS,109
2018-11,Category A,3238
2018-11,Category B,3523
2018-11,Category C,556
2018-11,Category C-ETS,611
2018-11,Category D,1585
2018-11,Taxis,259
2018-11,Vehicles Exempted From VQS,151
2018-12,Category A,2930
2018-12,Category B,3714
2018-12,Category C,649
2018-12,Category C-ETS,372
2018-12,Category D,1676
2018-12,Taxis,349
2018-12,Vehicles Exempted From VQS,232
2019-01,Category A,4111
2019-01,Category B,4138
2019-01,Category C,744
2019-01,Category C-ETS,524
2019-01,Category D,1908
2019-01,Taxis,236
2019-01,Vehicles Exempted From VQS,121
